taxonomy_version,ticker,layer,subindustry,report_group_status,is_primary,role_weight,notes
DC_TAXONOMY_FULL_V1,NTAP,IT hardware,Storage,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,PSTG,IT hardware,Storage,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,WDC,IT hardware,Storage,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,STX,IT hardware,Storage,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,MU,IT hardware,Storage,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,SNDK,IT hardware,Storage,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,HPQ,IT hardware,Storage,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,HPQ,IT hardware,Broad hardware / indirect exposure,EXTENDED,0,1.0,
DC_TAXONOMY_FULL_V1,LOGI,IT hardware,Broad hardware / indirect exposure,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ZBRA,IT hardware,Broad hardware / indirect exposure,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,OLED,IT hardware,Broad hardware / indirect exposure,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V1,ANET,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CSCO,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,NVDA,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,AVGO,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,MRVL,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,JNPR,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,HPE,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,0,1.0,
DC_TAXONOMY_FULL_V1,EXTR,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CIEN,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,INFN,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,NOK,Networking,"Switches, NICs, DPUs, switch ASICs",CORE,1,1.0,
DC_TAXONOMY_FULL_V1,COHR,Networking,Optics / photonics / high-speed connectivity,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,LITE,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,FN,Networking,Optics / photonics / high-speed connectivity,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,AAOI,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,MTSI,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,SMTC,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CRDO,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,ALAB,Networking,Optics / photonics / high-speed connectivity,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,CIEN,Networking,Optics / photonics / high-speed connectivity,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,INFN,Networking,Optics / photonics / high-speed connectivity,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,APH,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,TEL,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,BDC,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,BELFB,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,ROG,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,LFUS,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,KN,Networking,Connectivity / components / EMS,CORE,1,1.0,
DC_TAXONOMY_FULL_V1,SANM,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,FLEX,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,JBL,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,PLXS,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,TTMI,Networking,Connectivity / components / EMS,CORE,0,1.0,
DC_TAXONOMY_FULL_V1,BHE,Networking,Connectivity / components / EMS,CORE,0,1.0,
