taxonomy_version,ticker,layer,subindustry,report_group_status,is_primary,role_weight,notes
DC_TAXONOMY_FULL_V2,PNR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,IR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,FLS,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,AME,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CSW,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,JCI,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,SPXC,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,FELE,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,ATKR,Electrical & power systems,Electrical components & controls,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,AEIS,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,MPWR,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,ADI,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,TXN,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,VRT,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,ETN,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,POWL,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,GNRC,Electrical & power systems,Power conversion & precision power,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,AMSC,Electrical & power systems,Power conversion & precision power,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,VICR,Electrical & power systems,Power conversion & precision power,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,AOSL,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,NVTS,Electrical & power systems,Power conversion & precision power,CORE,0,1.0,
DC_TAXONOMY_FULL_V2,DCI,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ITW,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,WTS,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,KAI,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,XYL,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AOS,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,ENS,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,AYI,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,CARR,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,LII,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,CSL,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,MWA,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,HLIO,Electrical & power systems,Industrial systems / flow control / adjacent,EXTENDED,1,1.0,
DC_TAXONOMY_FULL_V2,CAT,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,CMI,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,GNRC,Backup power,"Generators, engines, fuel cells, BESS",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,GEV,Backup power,"Generators, engines, fuel cells, BESS",CORE,0,1.0,
DC_TAXONOMY_FULL_V2,BE,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,PLUG,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,FLNC,Backup power,"Generators, engines, fuel cells, BESS",CORE,1,1.0,
DC_TAXONOMY_FULL_V2,FCEL,Backup power,"Generators, engines, fuel cells, BESS",WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,EOSE,Backup power,"Generators, engines, fuel cells, BESS",WATCH_ONLY,1,1.0,
DC_TAXONOMY_FULL_V2,CEG,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,VST,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,NEE,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,TLN,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,NRG,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,PEG,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,AEP,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,DUK,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,SO,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,PPL,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,ETR,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
DC_TAXONOMY_FULL_V2,FE,Power generation / utilities,Power generation and utility exposure,CORE,1,1.0,
