audit_population,ticker,dimension,source_identity,fiscal_year,fiscal_quarter,reportperiod,source_date,old_position,old_history_count,current_history_count,prefix_position,prefix_length,older_rows_remaining,newer_rows_remaining,old_min,current_min,current_max,age_days,age_years,boundary_fiscal_quarter_span,companion_status,fiscal_calendar_note,phase13g3_9_classification,phase13g3_10_classification,classification_reason
AGED_96,FEIM,ARQ,FEIM|ARQ|2016-09-14|2016-07-31,2017,Q1,2016-07-31,2016-09-14,2,41,40,2,2,0,39,2016-04-30,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,FEIM,MRQ,FEIM|MRQ|2016-07-31|2016-07-31,2017,Q1,2016-07-31,2016-07-31,1,40,40,1,1,0,39,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,FIZZ,ARQ,FIZZ|ARQ|2016-07-14|2016-04-30,2016,Q4,2016-04-30,2016-07-14,1,41,40,1,2,0,39,2016-04-30,2016-10-29,2026-08-01,3745,10.253462,42,NONE,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,FIZZ,ARQ,FIZZ|ARQ|2016-09-08|2016-07-30,2017,Q1,2016-07-30,2016-09-08,2,41,40,2,2,0,39,2016-04-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,FIZZ,MRQ,FIZZ|MRQ|2016-07-30|2016-07-30,2017,Q1,2016-07-30,2016-07-30,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
FLWS_LOVE,FLWS,ARQ,FLWS|ARQ|2016-09-16|2016-07-03,2016,Q4,2016-07-03,2016-09-16,1,40,40,1,1,0,39,2016-07-03,2016-10-02,2026-06-28,3647,9.985147,41,CONSISTENT,weekday-based Sunday fiscal calendar,AMBIGUOUS_SOURCE_REMOVAL,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
FLWS_LOVE,FLWS,MRQ,FLWS|MRQ|2016-07-03|2016-07-03,2016,Q4,2016-07-03,2016-07-03,1,40,40,1,1,0,39,2016-07-03,2016-10-02,2026-06-28,3647,9.985147,41,CONSISTENT,weekday-based Sunday fiscal calendar,AMBIGUOUS_SOURCE_REMOVAL,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,GCO,ARQ,GCO|ARQ|2016-09-08|2016-07-30,2017,Q2,2016-07-30,2016-09-08,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,GCO,MRQ,GCO|MRQ|2016-07-30|2016-07-30,2017,Q2,2016-07-30,2016-07-30,1,40,40,1,1,0,39,2016-07-30,2016-10-29,2026-08-01,3654,10.004312,41,CONSISTENT,source fiscal-quarter boundary,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
AGED_96,GIII,ARQ,GIII|ARQ|2016-09-01|2016-07-31,2017,Q2,2016-07-31,2016-09-01,1,41,40,1,1,0,40,2016-07-31,2016-10-31,2026-07-31,3652,9.998836,41,CONSISTENT,weekday-based Sunday fiscal calendar,AGED_OUT_OF_SOURCE_WINDOW,AGED_OUT_OF_SOURCE_WINDOW,oldest contiguous prefix spans at least 41 inclusive fiscal-quarter positions to current maximum
